set N := 	Beira, Chimoio, Chitobe, Derre, Dindiza, Gorongosa, Inhambane, Inhaminga, Luido, Mabalane, Magude, Maputo, Massangena, Quelimane, Tete, XaiXai ;

set T := 0, 1, 2, 3, 4;
	
set V := Vehicle1, Vehicle2, Vehicle3, Vehicle4 ;
	
#set P := first, second, third, fourth ;

set R := high, medium, low ;

param first:=
Beira 75
Chimoio 75
Chitobe 75
Derre 0
Dindiza 75
Gorongosa 0
Inhambane 100
Inhaminga 0
Luido 75
Mabalane 100
Magude 100
Maputo 100
Massangena 75
Quelimane 0
Tete 0
XaiXai 100
;

param second:=
Beira 50
Chimoio 50
Chitobe 50
Derre 0
Dindiza 50
Gorongosa 0
Inhambane 80
Inhaminga 0
Luido 50
Mabalane 80
Magude 80
Maputo 80
Massangena 50
Quelimane 0
Tete 0
XaiXai 80
;

param third:=
Beira 25
Chimoio 25
Chitobe 25
Derre 0
Dindiza 25
Gorongosa 0
Inhambane 60
Inhaminga 0
Luido 25
Mabalane 60
Magude 60
Maputo 60
Massangena 25
Quelimane 0
Tete 0
XaiXai 60
;

param fourth:=
Beira 0
Chimoio 0
Chitobe 0
Derre 0
Dindiza 0
Gorongosa 0
Inhambane 0
Inhaminga 0
Luido 0
Mabalane 0
Magude 0
Maputo 0
Massangena 0
Quelimane 0
Tete 0
XaiXai 0
;

#param score: 		high medium low :=
#first		  		 100	75	0
#second				  80	50	0
#third				  60	25	0
#fourth					0	0	0
#;	


	




	
	
	
	
	
	
